Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,family_size,gender
0,3,22.0,1,0,7.25,True,False,True,1,male
1,3,26.0,0,0,7.925,False,False,True,0,female
1,1,35.0,1,0,53.1,False,False,True,1,female
0,3,35.0,0,0,8.05,True,False,True,0,male
0,3,29.69911764705882,0,0,8.4583,True,True,False,0,male
0,1,54.0,0,0,51.8625,True,False,True,0,male
1,2,14.0,1,0,30.0708,False,False,False,1,female
0,3,20.0,0,0,8.05,True,False,True,0,male
0,3,14.0,0,0,7.8542,False,False,True,0,female
1,2,29.69911764705882,0,0,13.0,True,False,True,0,male
0,3,31.0,1,0,18.0,False,False,True,1,female
1,3,29.69911764705882,0,0,7.225,False,False,False,0,female
0,2,35.0,0,0,26.0,True,False,True,0,male
1,2,34.0,0,0,13.0,True,False,True,0,male
1,3,15.0,0,0,8.0292,False,True,False,0,female
1,1,28.0,0,0,35.5,True,False,True,0,male
0,3,29.69911764705882,0,0,7.225,True,False,False,0,male
1,3,29.69911764705882,0,0,7.8792,False,True,False,0,female
0,3,29.69911764705882,0,0,7.8958,True,False,True,0,male
0,1,40.0,0,0,27.7208,True,False,False,0,male
1,3,29.69911764705882,0,0,7.75,False,True,False,0,female
0,1,42.0,1,0,52.0,True,False,True,1,male
1,3,29.69911764705882,0,0,7.2292,True,False,False,0,male
0,3,21.0,0,0,8.05,True,False,True,0,male
0,3,18.0,2,0,18.0,False,False,True,2,female
1,3,14.0,1,0,11.2417,False,False,False,1,female
0,3,40.0,1,0,9.475,False,False,True,1,female
0,2,27.0,1,0,21.0,False,False,True,1,female
0,3,29.69911764705882,0,0,7.8958,True,False,False,0,male
1,3,19.0,0,0,7.8792,False,True,False,0,female
0,3,29.69911764705882,0,0,8.05,True,False,True,0,male
0,3,29.69911764705882,1,0,15.5,True,True,False,1,male
1,3,29.69911764705882,0,0,7.75,False,True,False,0,female
0,3,29.69911764705882,2,0,21.6792,True,False,False,2,male
0,3,18.0,1,0,17.8,False,False,True,1,female
